id,chapitre,sous_chapitre,paragraphe,sous_paragraphe,question,response_type,included_in_score,information
27,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,Affichage,Présence d'un affichage,C/PC/NC,1,
28,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,Affichage,Qualité de l'affichage,C/PC/NC,1,
29,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,Affichage,Lisibilité des informations,C/PC/NC,1,
30,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,Affichage,Précision des informations,C/PC/NC,1,
31,Les hors d'œuvre,Les hors d'œuvre en libre-service,Affichage,Affichage,Indication du prix,C/PC/NC,1,
32,Les hors d'œuvre,Les hors d'œuvre en libre-service,Présentation,Présentation,Qualité de la présentation,C/PC/NC,1,
33,Les hors d'œuvre,Les hors d'œuvre en libre-service,Présentation,Présentation,Uniformité de la vaisselle utilisée,C/PC/NC,1,
34,Les hors d'œuvre,Les hors d'œuvre en libre-service,Présentation,Présentation,Accessibilité pour le réapprovisionnement,OK/KO,1,
35,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,Relevés des températures,Produit 1,Temperature,1,
36,Les hors d'œuvre,Les hors d'œuvre en libre-service,Relevés des températures,Relevés des températures,Vérification de la température de la vitrine,Temperature,1,
37,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Contrôle de l'affichage de la vitrine,Temperature,1,
38,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Relevé de la température du bas du meuble du support sur lequel sont placés les saladiers,Temperature,1,
39,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Relevé de la température à mi contenant,Temperature,1,
40,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Température extérieure du contenant,Temperature,1,
41,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Relevé de la température de surface,Temperature,1,
42,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Les hors d'œuvre en libre-service,Température du produit,Temperature,1,
43,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Etat des saladiers de service,C/PC/NC,1,
44,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Uniformité de la vaisselle utilisée,C/PC/NC,1,
45,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Disponibilité des ramequins/raviers,C/PC/NC,1,
46,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Etat des ramequins/raviers,C/PC/NC,1,
47,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Propreté des ramequins/raviers,C/PC/NC,1,
48,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Disponibilité des petites assiettes,C/PC/NC,1,
49,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Etat des petites assiettes,C/PC/NC,1,
50,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Propreté des petites assiettes,C/PC/NC,1,
51,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Disponibilité des coupelles,C/PC/NC,1,
52,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Etat des coupelles,C/PC/NC,1,
53,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Propreté des coupelles,C/PC/NC,1,
54,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Disponibilité des bols,C/PC/NC,1,
55,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Etat des bols,C/PC/NC,1,
56,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Propreté des bols,C/PC/NC,1,
57,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les contenants,Les contenants,Accessibilité pour le réapprovisionnement,OK/KO,1,
58,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,Les ustensiles de service,Etat des ustensiles,C/PC/NC,1,
59,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,Les ustensiles de service,Propreté des ustensiles,C/PC/NC,1,
60,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,Les ustensiles de service,Etat des saladiers,C/PC/NC,1,
61,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,Les ustensiles de service,Propreté des saladiers,C/PC/NC,1,
62,Les hors d'œuvre,Les hors d'œuvre en libre-service,Les ustensiles de service,Les ustensiles de service,Adéquation des ustensiles de service à la prestation servie,C/PC/NC,1,
63,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,Le matériel,Etat des vitrines,C/PC/NC,1,
64,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,Le matériel,Propreté des vitrines,C/PC/NC,1,
65,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,Le matériel,Etat des îlots,C/PC/NC,1,
66,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,Le matériel,Propreté des îlots,C/PC/NC,1,
67,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,Le matériel,Etat des vitres,C/PC/NC,1,
68,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le matériel,Le matériel,Propreté des vitres,C/PC/NC,1,
69,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,Les tenues de travail,"Respect des procédures d’hygiène (absence d’utilisation de torchon, port de coiffe, de bijoux etc.)",C/PC/NC,1,
70,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,Les tenues de travail,Uniformité des tenues ,C/PC/NC,1,
71,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,Les tenues de travail,Etat des tenues ,C/PC/NC,1,
72,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,Les tenues de travail,Propreté des tenues ,C/PC/NC,1,
73,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,L'accueil,Le sourire ,C/PC/NC,1,
74,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,L'accueil,L'amabilité ,C/PC/NC,1,
75,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,L'accueil,La politesse ,C/PC/NC,1,
76,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,L'accueil,La gestuelle ,C/PC/NC,1,
77,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,La communication,L'information ,C/PC/NC,1,
78,Les hors d'œuvre,Les hors d'œuvre en libre-service,Le personnel,La communication,Le conseil ,C/PC/NC,1,
